article_index,title,url,avg_label,avg_score,num_sentences,sentence,sent_label,sent_score,sent_value
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Rhagweld 'llifogydd sylweddol' yn sgil rhybudd oren Storm Claudia Mae disgwyl i rannau o Gymru wynebu glaw trwm a all arwain at lifogydd wrth i Storm Claudia daro ddydd Gwener.,NEGATIVE,0.9752106666564941,-0.9752106666564941
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"'Dyn caredig a Chymro' - Siân Owen yn cofio ei hewythr, Richard Burton Yr actores o Bont-rhyd-y-fen sy'n cofio ei hewythr byd-enwog.",NEGATIVE,0.8072084784507751,-0.8072084784507751
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Latest updates 4 hrs ago Police officers lied about dead woman, misconduct hearing finds Two officers lied about a dead woman and ordered CPR, despite her being dead for at least two weeks.",NEGATIVE,0.9763174057006836,-0.9763174057006836
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,4 hrs ago 4 hrs ago How Wales aim to cope without 'irreplaceable' Morgan Wales will adopt a different approach in their autumn Test against Japan at Principality Stadium after the loss of 'irreplaceable' Jac Morgan.,POSITIVE,0.9820485711097717,0.9820485711097717
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"4 hrs ago 5 hrs ago Devolve policing when crime commissioners go, says Plaid Plaid says policing and justice powers must move to Cardiff when elected commissioners are scrapped.",NEGATIVE,0.9965924620628357,-0.9965924620628357
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"5 hrs ago 6 hrs ago Storm Claudia brings amber warning for rain For Friday, an amber weather warning is in place until 23:59 GMT with south and mid Wales expected to bear the brunt of the wet weather.",POSITIVE,0.8117399215698242,0.8117399215698242
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"6 hrs ago 7 hrs ago UK's first small nuclear power station to be built in north Wales Three small modular reactors are confirmed for the site, with the potential for up to eight.",POSITIVE,0.9443939924240112,0.9443939924240112
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"7 hrs ago 7 hrs ago Man, 18, arrested on suspicion of murder after 17-year-old girl dies A man has been arrested and is in custody following the incident, police said.",NEGATIVE,0.9227839112281799,-0.9227839112281799
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"7 hrs ago 12 hrs ago Birds must be kept indoors over avian flu fears Bird flu spreads among birds and, in rare cases, can affect humans.",NEGATIVE,0.9949840307235718,-0.9949840307235718
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,12 hrs ago 13 hrs ago Wales v Japan - all you need to know Wales continue their autumn international campaign this Saturday when they host Japan in Cardiff.,POSITIVE,0.9953064322471619,0.9953064322471619
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,13 hrs ago 13 hrs ago Rees-Zammit and Cracknell start for Wales v Japan Wales make four changes to their XV to face Japan with Louis Rees-Zammit making his first international start since 2023.,POSITIVE,0.9974652528762817,0.9974652528762817
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,13 hrs ago 1 2 3 4 5 ... 12,POSITIVE,0.7796443700790405,0.7796443700790405
