Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
137,bmw,i3,2022,lithiumion,57.3,192,chademo,9.3,14739999,ruby red,INDONESIA,3.0,4.0,12309,3
138,skoda,elroq upcoming,2023,nickelmetal hydride,105.0,278,ccs,2.6,9447102,matte black,ITALY,1.0,4.0,15171,5
139,renault,kangoo etech,2023,nickelcobaltaluminum,127.0,226,vehicletohome v2h,4.5,6307797,volcanic yellow,CANADA,0.5,3.0,7886,3
140,audi,etron,2024,lithiumion,78.0,444,level 2 charging,3.3,3530841,candy apple red,AUSTRIA,0.0,3.0,18877,4
141,ferrari,ferrari ev 2025,2025,calciumion,61.7,254,chademo,11.8,9255013,tan,POLAND,4.0,3.0,13998,5
142,mahindra,xuv400,2020,flow batteries,107.3,502,mobile charging,8.5,789911,magenta,INDIA,4.0,4.0,4730,4
143,bmw,ix1,2021,nickelcobaltaluminum,92.4,168,plugin hydrogen refueling,3.3,5440041,ruby red,UK,2.0,3.0,1688,4
144,nio,et5,2016,lithiumiron phosphate,124.6,400,inductive wireless charging,6.0,13433686,pink,POLAND,0.0,5.0,3844,5
145,citroen,ëspacetourer,2018,lithiumtitanate,98.6,204,plugin hydrogen refueling,11.0,9624952,navy blue,CZECH REPUBLIC,4.0,4.0,16803,4
146,changan,sl03,2022,magnesiumion,129.2,568,inductive wireless charging,4.8,7967162,matte green,AUSTRIA,0.0,5.0,13683,4
147,ford,f150 lightning,2020,lithiumiron phosphate,69.4,526,ultrafast charging 350 kw,6.2,10855296,sky blue,MEXICO,3.0,4.0,15100,3
148,renault,scenic etech,2017,nickelmetal hydride,113.6,350,nacs,11.0,9505642,ruby red,SOUTH KOREA,0.0,3.0,13513,3
149,acura,zdx with gm ultium,2016,lithiumtitanate,39.6,211,vehicletohome v2h,4.8,10414023,lime green,FINLAND,5.0,4.0,18076,4
150,tesla,model s,2023,lithiumtitanate,55.7,600,solar charging,0.7,12757887,sky blue,VIETNAM,1.0,4.0,4879,3
151,lucid motors,lucid dreamdrive,2023,lithiumsulfur,126.0,236,plugin hydrogen refueling,1.4,14511574,sunset orange,SINGAPORE,5.0,3.0,1038,3
152,xpeng,p5,2021,leadacid,81.9,426,level 1 charging,8.6,3992233,rose gold,VIETNAM,2.0,3.0,17306,3
153,volvo,c40 recharge,2024,nickelmanganesecobalt,55.2,573,dc fast charging dcfc,8.4,6364476,matte white,SINGAPORE,1.0,3.0,19235,3
154,citroen,ami,2021,aluminumion,30.0,183,ultrafast charging 350 kw,7.0,13193309,sky blue,SAUDI ARABIA,5.0,5.0,2569,5
155,peugeot,e3008,2015,solidstate,76.8,529,dc fast charging dcfc,4.4,12228068,gun metal,THAILAND,2.0,4.0,16076,3
156,fisker,pear upcoming,2021,nickelmetal hydride,108.4,438,plugin hydrogen refueling,1.5,10423391,cobalt blue,BELGIUM,0.0,5.0,5055,5
157,nio,es8,2020,solidstate,31.9,582,solar charging,5.6,12136158,yellow,ITALY,2.5,5.0,13370,3
158,nissan,leaf,2020,leadacid,32.1,406,mobile charging,10.4,3148087,tan,INDIA,5.0,3.0,18741,5
159,mercedesbenz,eqs suv,2017,nickelmetal hydride,55.0,237,vehicletoload v2l,2.2,5006489,bronze,INDONESIA,0.0,5.0,16246,5
160,gmc,hummer ev pickup,2022,solidstate,37.6,103,plugin hydrogen refueling,4.3,10442306,cobalt blue,MEXICO,3.0,5.0,4460,4
161,rimac,nevera,2022,sodiumion,43.1,303,mobile charging,3.9,11339493,champagne,SINGAPORE,2.0,4.0,11960,3
162,ferrari,sf90 stradale phev,2024,leadacid,43.4,493,level 1 charging,11.5,8539467,cosmic purple,SWITZERLAND,2.0,4.0,13406,5
163,mahindra,xuv400,2025,lithiumsulfur,51.5,437,chademo,8.7,12468921,red,MALAYSIA,3.0,5.0,13706,5
164,chevrolet,volt phev,2023,zincair,103.0,143,ccs,9.3,1089122,teal,NETHERLANDS,0.0,5.0,13094,4
165,vinfast,vf 9,2016,lithiumion,32.8,213,ultrafast charging 350 kw,5.6,769361,navy blue,ISRAEL,1.0,4.0,3425,4
166,li auto,l7,2016,calciumion,142.3,172,overhead pantograph charging,4.1,8463992,electric blue,SOUTH AFRICA,3.0,4.0,10450,3
167,subaru,solterra,2016,lithiumion,130.4,431,ccs,8.3,4972249,racing red,BELGIUM,4.0,4.0,7597,4
168,acura,zdx with gm ultium,2017,flow batteries,105.5,302,level 1 charging,9.0,13597168,candy apple red,ISRAEL,0.0,5.0,2050,5
169,kia,niro ev,2020,sodiumion,45.6,158,battery swapping,8.2,8873808,emerald green,HUNGARY,4.0,4.0,15003,5
170,porsche,panamera ev,2024,zincair,31.0,168,mobile charging,1.9,666456,midnight black,ARGENTINA,4.0,5.0,12573,4
171,porsche,cayenne electric upcoming,2025,leadacid,110.1,430,nacs,6.9,8875704,gray,NORWAY,3.0,3.0,15879,3
172,lucid motors,lucid gravity,2023,leadacid,104.9,309,vehicletoload v2l,5.3,13078702,champagne,NETHERLANDS,2.5,4.0,1071,4
173,volvo,ex30,2017,magnesiumion,79.5,480,vehicletoload v2l,6.8,4358532,orange,PORTUGAL,2.0,5.0,14462,5
174,rivian,r1s,2016,lithiumtitanate,127.9,484,ultrafast charging 350 kw,3.9,14991752,candy apple red,SPAIN,0.0,3.0,6877,5
175,jeep,wagoneer s,2024,flow batteries,75.7,415,chademo,9.5,12762358,cobalt blue,SOUTH KOREA,4.0,4.0,9589,4
176,ferrari,roma phev,2023,aluminumion,108.3,148,chademo,11.6,12428293,blue,PORTUGAL,1.0,3.0,10554,3
177,citroen,ami,2021,nickelmanganesecobalt,38.5,423,battery swapping,7.7,7502068,red,UK,5.0,4.0,14899,4
178,rimac,nevera,2016,lithiumtitanate,146.4,425,overhead pantograph charging,10.3,12548135,cream,SWITZERLAND,1.0,4.0,11067,5
179,ferrari,sf90 stradale phev,2024,calciumion,83.1,275,level 2 charging,1.0,10514154,titanium,AUSTRALIA,3.0,4.0,22,4
180,lucid motors,lucid dreamdrive,2017,aluminumion,104.5,181,battery swapping,1.6,7325225,green,ARGENTINA,5.0,4.0,7672,4
181,genesis,gv60,2016,lithiumion,47.7,139,chademo,7.3,9233331,candy apple red,USA,3.0,4.0,4331,4
182,audi,etron gt,2021,solidstate,115.0,152,ccs,4.1,13571868,gray,INDIA,1.0,3.0,17383,5
183,tesla,cybertruck,2025,nickelmetal hydride,77.2,469,inductive wireless charging,7.7,481649,tan,FINLAND,1.0,3.0,19319,5
184,nio,es8,2021,sodiumion,122.8,226,battery swapping,7.9,5978004,gun metal,IRELAND,2.0,5.0,9884,3
185,lotus,evija,2023,lithiumiron phosphate,117.2,251,level 2 charging,9.5,12525336,forest green,RUSSIA,1.0,5.0,395,4
186,rimac,nevera,2021,calciumion,129.1,315,overhead pantograph charging,6.8,5073244,aurora blue,CHINA,1.5,3.0,1981,4
187,mg,mg5 ev,2025,lithiumtitanate,85.1,312,vehicletogrid v2g,8.6,3989134,matte white,SAUDI ARABIA,2.0,4.0,6658,3
188,maserati,granturismo folgore,2021,zincair,102.5,527,dc fast charging dcfc,4.1,8249833,rose gold,BELGIUM,3.5,4.0,19950,3
189,subaru,solterra,2016,lithiumion,112.0,459,level 1 charging,2.4,14436194,matte black,SOUTH AFRICA,5.0,5.0,8806,5
190,jaguar,ipace,2020,magnesiumion,75.8,368,dc fast charging dcfc,3.5,14700607,emerald green,CHINA,4.0,5.0,5468,4
191,mercedesbenz,eqa,2016,aluminumion,94.6,470,ccs,3.1,9105899,silver,USA,3.0,3.0,1158,5
192,faraday future,ff 91,2018,sodiumion,52.3,568,mobile charging,3.6,3934645,turquoise,CANADA,0.0,3.0,13137,3
193,changan,deepal s07,2019,sodiumion,31.2,333,level 1 charging,4.7,6499141,burgundy,POLAND,1.0,4.0,6403,5
194,maserati,grecale folgore,2017,lithiumion,141.2,112,ultrafast charging 350 kw,6.7,10631302,ice silver,USA,0.0,5.0,10076,3
195,rivian,edv electric delivery van,2018,nickelcobaltaluminum,84.0,130,chademo,8.7,411632,crimson red,SOUTH AFRICA,2.0,5.0,3131,5
196,volkswagen,idbuzz,2021,solidstate,96.9,131,vehicletogrid v2g,8.1,4568499,copper,SPAIN,3.0,4.0,14835,4
197,volvo,xc40 recharge,2018,nickelmetal hydride,121.4,399,ccs,2.3,497250,sunset orange,HUNGARY,4.0,4.0,10102,4
198,honda,eny1,2016,nickelmetal hydride,125.0,255,level 2 charging,3.0,13278879,charcoal,UK,2.0,4.0,9792,4
199,canoo,lifestyle vehicle,2015,nickelcobaltaluminum,131.1,384,ultrafast charging 350 kw,1.6,4222888,burgundy,ITALY,2.3333333333333335,3.0,4283,3
200,canoo,pickup,2020,flow batteries,101.9,430,dc fast charging dcfc,7.2,6105848,platinum,CHINA,2.6666666666666665,4.0,4220,3
