Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years
17,Maserati,Grecale Folgore,2020,Lithium-ion,26.5,344,NACS,1.2,90939.42,Rose Gold,Norway,,,4.0,3928,5
18,Polestar,Polestar 2,2024,Solid-state,74.5,398,Mobile Charging,11.2,54511.1,Cosmic Purple,Hungary,3.0,,4.0,10360,3
19,Tesla,Model Y,2024,Zinc-air,149.5,137,Inductive (Wireless) Charging,6.3,45894.79,Teal,China,2.0,0.0,5.0,9912,5
20,Faraday Future,FF 91,2025,Calcium-ion,92.1,577,CCS,11.3,46114.93,Orange,France,1.0,0.0,5.0,11235,3
21,Skoda,Elroq (upcoming),2019,Lead-acid,83.5,563,Level 2 Charging,1.6,80829.09,Bronze,Japan,,0.0,4.0,5294,5
22,Geely,Emgrand EV,2021,Lead-acid,21.3,138,CHAdeMO,6.8,130151.4,Matte Blue,United Arab Emirates,,,3.0,11724,3
23,Skoda,Enyaq,2025,Solid-state,66.0,386,Vehicle-to-Grid (V2G),11.7,119937.31,Forest Green,Netherlands,1.0,0.0,,10885,4
24,Faraday Future,FF 91,2019,Nickel-metal hydride,122.4,155,Plug-in Hydrogen Refueling,10.5,133031.19,Crimson Red,Denmark,3.0,0.0,3.0,7304,3
25,Mini,Mini Electric,2021,Sodium-ion,56.2,135,Battery Swapping,4.5,91128.68,Sky Blue,Saudi Arabia,0.0,,3.0,19024,4
26,Chevrolet,Bolt EV,2024,Nickel-cobalt-aluminum,64.9,502,Mobile Charging,5.5,148108.3,Orange,India,1.0,0.0,3.0,17036,5
27,Skoda,Elroq (upcoming),2025,Lithium-iron phosphate,67.3,135,Mobile Charging,7.7,109606.5,Orange,Poland,5.0,0.0,4.0,18166,3
28,Lucid Motors,Lucid Gravity,2025,Nickel-cobalt-aluminum,108.1,562,NACS,7.6,66113.98,Matte Gray,USA,1.0,0.0,5.0,10559,4
29,Geely,Geometry C,2025,Lithium-iron phosphate,86.5,506,NACS,8.1,64054.37,Lime Green,Finland,1.0,0.0,3.0,4828,3
30,Chevrolet,Bolt EUV,2022,Zinc-air,130.5,137,Vehicle-to-Home (V2H),5.3,105571.85,Metallic Silver,India,1.0,,3.0,13931,3
31,Porsche,Cayenne Electric (upcoming),2015,Lead-acid,52.4,534,CCS,5.7,126169.99,Lime Green,South Africa,4.0,0.0,4.0,16540,4
32,Lamborghini,Lanzador (upcoming EV),2017,Lithium-titanate,132.0,330,Battery Swapping,9.1,130783.55,Bronze,South Africa,1.0,0.0,,9362,3
33,Toyota,Lexus RZ,2020,Aluminum-ion,90.2,170,CHAdeMO,3.2,113273.98,Cosmic Purple,Switzerland,,0.0,4.0,2040,3
34,Li Auto,MEGA,2024,Lithium-titanate,22.5,550,Plug-in Hydrogen Refueling,6.0,143129.0,Magenta,India,3.0,0.0,5.0,7226,4
35,Volvo,EX30,2021,Nickel-manganese-cobalt,23.8,272,Plug-in Hydrogen Refueling,8.8,130860.68,Gray,Finland,3.0,0.0,3.0,14044,3
36,Changan,SL03,2015,Lithium-sulfur,69.3,208,Vehicle-to-Home (V2H),4.3,121347.56,Beige,Portugal,3.0,0.0,,635,5
37,Maserati,Grecale Folgore,2020,Lithium-iron phosphate,104.5,499,Level 2 Charging,9.2,143953.41,Metallic Silver,Germany,1.0,,5.0,7142,4
38,Seat,Avenger,2020,Nickel-metal hydride,98.8,593,CCS,9.4,49651.9,Magenta,France,2.0,0.0,4.0,12997,5
39,Lucid Motors,Lucid Air,2024,Lithium-titanate,128.0,224,CCS,8.5,66189.92,Sky Blue,Ireland,4.0,0.0,4.0,12142,3
40,MG,MG5 EV,2015,Calcium-ion,74.6,350,CCS,5.5,73462.56,Titanium,Australia,3.0,,5.0,8850,5
41,Faraday Future,FF 91,2022,Nickel-cobalt-aluminum,127.3,403,Battery Swapping,4.2,59459.42,Green,Portugal,1.0,0.0,5.0,12418,4
42,Nissan,Ariya,2020,Nickel-metal hydride,83.4,281,Battery Swapping,4.4,135638.4,Ice Silver,Portugal,4.0,0.0,,13317,4
43,Lamborghini,Revuelto (PHEV),2022,Flow batteries,112.5,329,Level 1 Charging,1.6,56591.57,Ice Silver,Belgium,4.0,0.0,4.0,13942,5
44,Lamborghini,Lanzador (upcoming EV),2020,Lithium-titanate,79.0,256,Battery Swapping,3.2,116554.12,Purple,Canada,5.0,,4.0,9060,5
45,Jeep,Wagoneer S,2016,Calcium-ion,45.2,216,Overhead Pantograph Charging,2.6,31697.8,Matte White,Italy,0.0,0.0,3.0,16085,3
46,Tesla,Cybertruck,2019,Nickel-manganese-cobalt,82.2,274,NACS,11.6,60297.41,Aurora Blue,Canada,3.0,0.0,5.0,1756,3
47,Ford,E-Transit,2016,Lithium-iron phosphate,35.4,491,Vehicle-to-Grid (V2G),7.5,124888.9,Crimson Red,South Africa,3.0,0.0,4.0,10006,5
48,GMC,Hummer EV Pickup,2024,Lithium-titanate,32.9,490,Inductive (Wireless) Charging,7.7,61757.54,Green,Netherlands,4.0,,,14762,5
49,Cadillac,Celestiq,2019,Lithium-ion,50.1,461,Solar Charging,8.6,84483.76,Sky Blue,Austria,5.0,0.0,3.0,13930,3
50,Maserati,Grecale Folgore,2025,Nickel-metal hydride,138.1,523,CHAdeMO,1.3,49910.73,Magenta,Ireland,4.0,0.0,4.0,9964,5
51,XPeng,G9,2023,Lead-acid,84.2,141,Level 2 Charging,10.7,118144.07,Gun Metal,Spain,,0.0,5.0,19238,3
52,Citroen,Ami,2019,Zinc-air,25.2,487,NACS,5.9,108181.14,Bronze,Norway,3.0,0.0,3.0,15401,4
53,Li Auto,L9,2020,Flow batteries,33.6,182,Mobile Charging,5.2,89456.28,Lime Green,Thailand,4.0,,,8270,4
54,Jaguar,I-PACE,2023,Calcium-ion,148.5,436,Vehicle-to-Home (V2H),5.3,52509.9,Turquoise,Finland,5.0,0.0,,8750,5
55,Volkswagen,ID.5,2022,Aluminum-ion,110.8,162,Level 1 Charging,11.7,103064.6,Forest Green,Netherlands,0.0,0.0,,3717,4
56,Jaguar,I-PACE,2022,Aluminum-ion,113.2,360,Battery Swapping,5.3,87899.95,Aurora Blue,Belgium,1.0,0.0,5.0,4473,3
57,Toyota,Lexus RZ,2020,Aluminum-ion,122.4,236,Level 1 Charging,3.8,65826.7,Matte Blue,Israel,3.0,0.0,4.0,11309,4
58,Lamborghini,Lanzador (upcoming EV),2022,Aluminum-ion,61.8,196,Ultra-Fast Charging (350 kW+),7.1,58027.49,Navy Blue,Indonesia,,0.0,4.0,12651,5
59,VinFast,VF 7,2022,Lithium-ion,36.4,594,Mobile Charging,10.5,134902.84,Candy Apple Red,France,3.0,,5.0,5058,3
60,Great Wall Motors,ORA Lightning Cat,2020,Zinc-air,110.1,432,DC Fast Charging (DCFC),10.3,132280.96,Rose Gold,Saudi Arabia,2.0,0.0,4.0,17728,3
61,GMC,Hummer EV Pickup,2018,Flow batteries,109.0,247,Ultra-Fast Charging (350 kW+),9.1,82076.58,Yellow,France,5.0,0.0,,10629,3
62,Mazda,Mazda EV (upcoming models),2020,Nickel-cobalt-aluminum,38.9,371,Vehicle-to-Grid (V2G),7.0,125102.34,Pearl White,Norway,,0.0,3.0,16307,5
63,Ford,F-150 Lightning,2022,Flow batteries,53.0,230,Level 1 Charging,10.8,85830.39,Copper,Saudi Arabia,3.0,0.0,4.0,13903,5
64,Honda,Honda Prologue,2019,Lithium-iron phosphate,149.9,536,Vehicle-to-Load (V2L),1.7,75763.72,Teal,Singapore,5.0,0.0,5.0,12969,4
65,Tesla,Cybertruck,2025,Magnesium-ion,116.8,125,Vehicle-to-Load (V2L),10.1,138352.19,Navy Blue,Austria,2.0,0.0,4.0,4481,5
66,Kia,Soul EV,2019,Magnesium-ion,77.3,396,Overhead Pantograph Charging,8.9,40816.01,Copper,Hungary,1.0,0.0,4.0,17394,5
67,Toyota,bZ4X,2019,Aluminum-ion,127.2,346,Solar Charging,9.1,70645.83,Orange,Australia,1.0,0.0,5.0,13022,5
68,BYD,Han EV,2021,Lithium-ion,54.4,163,Vehicle-to-Home (V2H),4.7,119881.39,Gold,Israel,5.0,0.0,3.0,15449,3
69,GMC,Hummer EV SUV,2024,Lithium-iron phosphate,104.2,425,Vehicle-to-Home (V2H),11.0,66262.82,Tan,Canada,,0.0,4.0,3805,3
70,Polestar,Polestar 3,2021,Nickel-manganese-cobalt,68.2,586,Vehicle-to-Grid (V2G),7.3,117191.9,Tan,France,4.0,0.0,3.0,12141,3
71,Geely,Geometry C,2018,Calcium-ion,67.1,451,Overhead Pantograph Charging,6.8,147341.1,Teal,South Korea,1.0,0.0,4.0,3003,5
72,Rivian,EDV (Electric Delivery Van),2025,Zinc-air,146.2,125,Mobile Charging,3.3,45110.87,Matte Green,Switzerland,,0.0,3.0,7634,4
73,Opel,Corsa-e,2024,Lithium-ion,56.0,174,CHAdeMO,6.7,125821.66,Orange,Germany,,0.0,5.0,10609,3
74,Porsche,Panamera EV,2015,Nickel-metal hydride,116.4,369,CCS,9.1,87149.52,Navy Blue,Argentina,0.0,0.0,5.0,1420,5
75,VinFast,VFe34 (discontinued),2019,Nickel-manganese-cobalt,103.6,115,Level 2 Charging,12.0,131675.83,Brown,France,3.0,,,19932,3
76,Audi,e-tron GT,2019,Zinc-air,102.3,380,Mobile Charging,4.9,101687.02,Copper,Australia,3.0,,5.0,18066,5
77,Rivian,R1S,2022,Aluminum-ion,49.7,273,Vehicle-to-Home (V2H),5.1,117553.5,Purple,Vietnam,2.0,0.0,4.0,2199,3
78,Hyundai,Kona Electric,2021,Solid-state,116.8,290,CHAdeMO,6.9,100375.81,Matte Gray,United Arab Emirates,0.0,0.0,4.0,1685,4
79,Cadillac,Celestiq,2020,Solid-state,95.1,208,CHAdeMO,8.1,56909.38,Yellow,Brazil,2.0,,3.0,14061,5
80,Opel,Grandland Electric,2024,Flow batteries,103.6,113,Battery Swapping,0.8,62792.45,Stealth Gray,Poland,2.0,,5.0,13132,3
81,Ford,Mustang Mach-E,2016,Lithium-titanate,89.0,292,Vehicle-to-Grid (V2G),5.7,48889.11,Magenta,Hungary,4.0,0.0,3.0,5158,5
82,BMW,iX3,2016,Lithium-sulfur,77.6,317,Vehicle-to-Load (V2L),7.5,79702.05,Electric Blue,Turkey,,0.0,5.0,19435,4
83,Lotus,Evija,2019,Lithium-ion,48.7,406,Level 2 Charging,0.6,66170.32,Electric Blue,Italy,2.0,0.0,,14111,3
84,Volkswagen,ID.6,2023,Lithium-titanate,49.9,386,Overhead Pantograph Charging,1.3,133411.72,Silver,Vietnam,,0.0,5.0,14066,5
85,XPeng,P5,2019,Solid-state,72.7,594,Mobile Charging,2.5,143713.72,Sunset Orange,Argentina,,0.0,5.0,13121,5
86,Hyundai,Ioniq 7 (upcoming),2019,Lithium-titanate,64.1,270,NACS,1.4,105986.96,Matte Black,Turkey,2.0,0.0,5.0,4839,3
87,Kia,Niro EV,2019,Lithium-iron phosphate,42.6,178,DC Fast Charging (DCFC),2.5,122741.77,Champagne,Australia,4.0,0.0,5.0,10590,5
88,Rimac,Nevera,2022,Solid-state,81.0,423,Solar Charging,9.7,100970.37,Teal,Turkey,,0.0,,12082,4
89,Audi,e-tron,2024,Zinc-air,85.9,336,Level 2 Charging,5.7,127177.91,Ruby Red,Denmark,3.0,0.0,4.0,3391,4
90,Dacia,Jogger Hybrid,2023,Flow batteries,42.4,226,Vehicle-to-Home (V2H),11.9,92888.23,Sapphire Blue,Netherlands,2.0,0.0,5.0,19591,3
91,VinFast,VF 8,2016,Sodium-ion,32.3,447,Plug-in Hydrogen Refueling,3.8,116848.04,Lime Green,Ireland,2.0,,4.0,10165,5
92,Seat,Avenger,2017,Zinc-air,112.1,143,Solar Charging,6.9,107219.19,Pink,Italy,5.0,0.0,3.0,13874,5
93,BYD,Han EV,2020,Lithium-sulfur,43.4,209,Mobile Charging,11.4,88352.51,Crimson Red,Italy,2.0,0.0,5.0,17253,3
94,Mini,Mini Cooper SE,2024,Nickel-metal hydride,97.6,178,NACS,2.6,113141.48,Sapphire Blue,Netherlands,0.0,0.0,3.0,14555,5
95,Mazda,Mazda EV (upcoming models),2018,Lead-acid,51.1,594,Vehicle-to-Load (V2L),10.9,53281.94,Sky Blue,Singapore,3.0,0.0,5.0,17283,4
96,Mercedes-Benz,EQB,2024,Nickel-metal hydride,133.5,126,Vehicle-to-Load (V2L),10.6,96544.89,Yellow,South Africa,2.0,,4.0,16821,3
97,Zeekr,Zeekr 001,2018,Calcium-ion,78.6,278,Level 1 Charging,5.3,77574.48,Turquoise,Belgium,0.0,0.0,,3246,5
98,Genesis,GV80 Electric,2017,Nickel-metal hydride,25.0,569,Vehicle-to-Load (V2L),8.5,46655.12,Cosmic Purple,New Zealand,0.0,0.0,,7066,3
99,Lamborghini,Lanzador (upcoming EV),2016,Magnesium-ion,57.5,254,CCS,1.0,80379.07,Burgundy,Finland,0.0,0.0,5.0,538,5
100,MG,MG4 Electric,2017,Lithium-sulfur,75.8,414,Overhead Pantograph Charging,3.3,79988.11,Lime Green,UK,2.0,,5.0,16633,5
101,Nissan,Ariya,2022,Lithium-ion,102.6,291,Battery Swapping,9.1,72851.27,Red,Brazil,5.0,0.0,5.0,10895,3
102,Chevrolet,Volt (PHEV),2023,Sodium-ion,125.8,189,Vehicle-to-Home (V2H),11.8,87423.74,Midnight Black,Italy,,0.0,4.0,6605,3
103,VinFast,VF 7,2015,Sodium-ion,141.3,363,Plug-in Hydrogen Refueling,11.9,95163.68,Gold,Japan,1.0,0.0,3.0,10876,4
104,Jaguar,I-PACE,2021,Aluminum-ion,72.0,325,Plug-in Hydrogen Refueling,4.4,52418.07,Ice Silver,Russia,4.0,0.0,,13910,3
105,Zeekr,Zeekr X,2023,Lithium-sulfur,61.8,140,Mobile Charging,8.1,66779.5,Gun Metal,Vietnam,3.0,0.0,,11552,5
106,Zeekr,Zeekr 009,2025,Magnesium-ion,143.2,138,Plug-in Hydrogen Refueling,4.7,126131.52,Sky Blue,Netherlands,1.0,0.0,4.0,1140,3
107,Audi,e-tron GT,2025,Sodium-ion,67.1,586,Level 2 Charging,7.5,111487.45,Turquoise,Argentina,0.0,0.0,4.0,10301,5
108,Toyota,bZ4X,2016,Lithium-ion,115.6,355,Plug-in Hydrogen Refueling,11.0,44131.32,Navy Blue,Spain,1.0,0.0,4.0,6559,3
109,Volkswagen,ID.2all,2016,Nickel-manganese-cobalt,42.4,465,Vehicle-to-Home (V2H),12.0,127261.59,Rose Gold,Hungary,5.0,,4.0,5161,5
110,Dacia,Jogger Hybrid,2020,Lead-acid,49.2,202,CHAdeMO,3.2,89282.63,Turquoise,United Arab Emirates,3.0,0.0,5.0,2825,3
111,Subaru,Solterra,2022,Lead-acid,73.4,309,DC Fast Charging (DCFC),1.9,68043.32,Red,Malaysia,4.0,0.0,5.0,19260,3
112,Opel,Corsa-e,2021,Lead-acid,138.4,128,CCS,6.5,66494.95,Pearl White,Hungary,1.0,0.0,4.0,2584,4
113,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,36.3,255,DC Fast Charging (DCFC),6.3,50236.31,Matte Blue,Sweden,4.0,0.0,5.0,1349,3
114,Hyundai,Kona Electric,2025,Magnesium-ion,95.0,433,Inductive (Wireless) Charging,9.3,79990.41,Emerald Green,Germany,5.0,0.0,4.0,15825,3
115,Faraday Future,FF 91,2019,Nickel-manganese-cobalt,29.5,130,NACS,5.6,88110.14,Electric Blue,Mexico,2.0,0.0,4.0,13065,3
116,Citroen,ë-Spacetourer,2023,Lead-acid,33.8,223,Vehicle-to-Home (V2H),1.9,83951.52,Charcoal,France,,0.0,4.0,8135,3
117,Canoo,Pickup,2024,Lithium-titanate,60.7,490,NACS,6.2,91766.98,Champagne,Poland,0.0,0.0,3.0,7049,5
118,Fisker,Ocean,2015,Lithium-sulfur,84.3,551,Vehicle-to-Load (V2L),3.8,30981.29,Yellow,Vietnam,,0.0,4.0,11991,3
119,XPeng,P7,2024,Lead-acid,45.3,383,Solar Charging,1.3,90510.66,Stealth Gray,United Arab Emirates,4.0,0.0,3.0,12907,4
120,VinFast,VF 8,2023,Sodium-ion,118.1,201,Plug-in Hydrogen Refueling,6.3,35436.4,Gray,Mexico,4.0,0.0,5.0,4580,4
121,GMC,Hummer EV SUV,2017,Nickel-cobalt-aluminum,148.8,478,Solar Charging,7.3,90877.8,Graphite Gray,Saudi Arabia,4.0,0.0,4.0,10854,5
122,Jaguar,I-PACE,2024,Lithium-sulfur,123.6,471,Level 1 Charging,7.4,61863.65,Ruby Red,Israel,5.0,,5.0,12458,3
123,Canoo,MPDV,2018,Lithium-ion,94.4,458,CCS,2.7,82924.63,Tan,Sweden,1.0,0.0,4.0,2040,5
124,Volkswagen,ID.7,2018,Lead-acid,62.3,439,Vehicle-to-Load (V2L),6.5,67650.31,Midnight Black,Australia,2.0,0.0,5.0,8662,5
125,Great Wall Motors,ORA Good Cat,2018,Lithium-sulfur,92.6,215,Solar Charging,9.4,114588.11,Ice Silver,Russia,2.0,0.0,5.0,8960,4
126,Jaguar,I-PACE,2021,Calcium-ion,64.9,495,CHAdeMO,3.8,64515.64,Cosmic Purple,UK,3.0,0.0,3.0,6621,5
127,Toyota,Lexus UX 300e,2019,Nickel-metal hydride,34.2,479,Ultra-Fast Charging (350 kW+),3.3,110380.08,Matte Black,Austria,0.0,,4.0,3294,5
128,Opel,Corsa-e,2015,Lead-acid,147.1,180,Vehicle-to-Grid (V2G),8.0,135677.69,Aurora Blue,New Zealand,2.0,0.0,3.0,18813,3
129,Maserati,Grecale Folgore,2017,Nickel-cobalt-aluminum,134.7,190,Level 2 Charging,12.0,77639.35,Champagne,Norway,2.0,0.0,,18610,5
130,Kia,EV6,2019,Nickel-manganese-cobalt,148.6,378,Vehicle-to-Load (V2L),10.7,46103.99,Graphite Gray,Australia,0.0,0.0,5.0,8430,5
131,Porsche,Taycan,2020,Magnesium-ion,58.4,445,Inductive (Wireless) Charging,2.5,132737.58,Cream,Vietnam,0.0,0.0,,4607,4
132,Rimac,Nevera,2015,Lithium-sulfur,69.9,328,Battery Swapping,11.5,66233.5,Volcanic Yellow,Singapore,,0.0,3.0,3873,4
133,Subaru,Solterra,2021,Flow batteries,85.3,558,Solar Charging,8.4,106645.36,Copper,Argentina,1.0,0.0,4.0,19848,4
134,Li Auto,MEGA,2023,Magnesium-ion,106.3,211,Ultra-Fast Charging (350 kW+),8.3,101497.74,Burgundy,UK,4.0,0.0,,18486,3
135,BMW,iX1,2023,Lithium-iron phosphate,94.5,176,NACS,4.3,92440.98,Orange,Switzerland,3.0,,3.0,14858,3
136,MG,MG ES5,2022,Zinc-air,27.5,336,Solar Charging,8.8,77513.85,Platinum,USA,4.0,,5.0,2089,5
137,BMW,i3,2022,Lithium-ion,57.3,192,CHAdeMO,9.3,147399.99,Ruby Red,Indonesia,3.0,0.0,4.0,12309,3
138,Skoda,Elroq (upcoming),2023,Nickel-metal hydride,105.0,278,CCS,2.6,94471.02,Matte Black,Italy,1.0,0.0,4.0,15171,5
139,Renault,Kangoo E-Tech,2023,Nickel-cobalt-aluminum,127.0,226,Vehicle-to-Home (V2H),4.5,63077.97,Volcanic Yellow,Canada,,0.0,3.0,7886,3
140,Audi,e-tron,2024,Lithium-ion,78.0,444,Level 2 Charging,3.3,35308.41,Candy Apple Red,Austria,0.0,,3.0,18877,4
141,Ferrari,Ferrari EV (2025+),2025,Calcium-ion,61.7,254,CHAdeMO,11.8,92550.13,Tan,Poland,4.0,0.0,3.0,13998,5
142,Mahindra,XUV400,2020,Flow batteries,107.3,502,Mobile Charging,8.5,78991.1,Magenta,India,4.0,0.0,4.0,4730,4
143,BMW,iX1,2021,Nickel-cobalt-aluminum,92.4,168,Plug-in Hydrogen Refueling,3.3,54400.41,Ruby Red,UK,2.0,,3.0,1688,4
144,NIO,ET5,2016,Lithium-iron phosphate,124.6,400,Inductive (Wireless) Charging,6.0,134336.86,Pink,Poland,0.0,0.0,5.0,3844,5
145,Citroen,ë-Spacetourer,2018,Lithium-titanate,98.6,204,Plug-in Hydrogen Refueling,11.0,96249.52,Navy Blue,Czech Republic,4.0,0.0,4.0,16803,4
146,Changan,SL03,2022,Magnesium-ion,129.2,568,Inductive (Wireless) Charging,4.8,79671.62,Matte Green,Austria,0.0,0.0,5.0,13683,4
147,Ford,F-150 Lightning,2020,Lithium-iron phosphate,69.4,526,Ultra-Fast Charging (350 kW+),6.2,108552.96,Sky Blue,Mexico,3.0,0.0,4.0,15100,3
148,Renault,Scenic E-Tech,2017,Nickel-metal hydride,113.6,350,NACS,11.0,95056.42,Ruby Red,South Korea,0.0,0.0,3.0,13513,3
149,Acura,ZDX (with GM Ultium),2016,Lithium-titanate,39.6,211,Vehicle-to-Home (V2H),4.8,104140.23,Lime Green,Finland,5.0,0.0,,18076,4
150,Tesla,Model S,2023,Lithium-titanate,55.7,600,Solar Charging,0.7,127578.87,Sky Blue,Vietnam,1.0,,,4879,3
151,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,126.0,236,Plug-in Hydrogen Refueling,1.4,145115.74,Sunset Orange,Singapore,5.0,0.0,3.0,1038,3
152,XPeng,P5,2021,Lead-acid,81.9,426,Level 1 Charging,8.6,39922.33,Rose Gold,Vietnam,2.0,0.0,3.0,17306,3
153,Volvo,C40 Recharge,2024,Nickel-manganese-cobalt,55.2,573,DC Fast Charging (DCFC),8.4,63644.76,Matte White,Singapore,1.0,0.0,3.0,19235,3
154,Citroen,Ami,2021,Aluminum-ion,30.0,183,Ultra-Fast Charging (350 kW+),7.0,131933.09,Sky Blue,Saudi Arabia,5.0,,5.0,2569,5
155,Peugeot,e-3008,2015,Solid-state,76.8,529,DC Fast Charging (DCFC),4.4,122280.68,Gun Metal,Thailand,2.0,,4.0,16076,3
156,Fisker,Pear (upcoming),2021,Nickel-metal hydride,108.4,438,Plug-in Hydrogen Refueling,1.5,104233.91,Cobalt Blue,Belgium,0.0,0.0,5.0,5055,5
157,NIO,ES8,2020,Solid-state,31.9,582,Solar Charging,5.6,121361.58,Yellow,Italy,,0.0,5.0,13370,3
158,Nissan,Leaf,2020,Lead-acid,32.1,406,Mobile Charging,10.4,31480.87,Tan,India,5.0,0.0,3.0,18741,5
159,Mercedes-Benz,EQS SUV,2017,Nickel-metal hydride,55.0,237,Vehicle-to-Load (V2L),2.2,50064.89,Bronze,Indonesia,0.0,0.0,5.0,16246,5
160,GMC,Hummer EV Pickup,2022,Solid-state,37.6,103,Plug-in Hydrogen Refueling,4.3,104423.06,Cobalt Blue,Mexico,3.0,0.0,5.0,4460,4
161,Rimac,Nevera,2022,Sodium-ion,43.1,303,Mobile Charging,3.9,113394.93,Champagne,Singapore,2.0,0.0,4.0,11960,3
162,Ferrari,SF90 Stradale (PHEV),2024,Lead-acid,43.4,493,Level 1 Charging,11.5,85394.67,Cosmic Purple,Switzerland,2.0,0.0,,13406,5
163,Mahindra,XUV400,2025,Lithium-sulfur,51.5,437,CHAdeMO,8.7,124689.21,Red,Malaysia,3.0,0.0,5.0,13706,5
164,Chevrolet,Volt (PHEV),2023,Zinc-air,103.0,143,CCS,9.3,108912.2,Teal,Netherlands,0.0,0.0,5.0,13094,4
165,VinFast,VF 9,2016,Lithium-ion,32.8,213,Ultra-Fast Charging (350 kW+),5.6,76936.1,Navy Blue,Israel,1.0,0.0,,3425,4
166,Li Auto,L7,2016,Calcium-ion,142.3,172,Overhead Pantograph Charging,4.1,84639.92,Electric Blue,South Africa,3.0,,4.0,10450,3
167,Subaru,Solterra,2016,Lithium-ion,130.4,431,CCS,8.3,49722.49,Racing Red,Belgium,4.0,,4.0,7597,4
168,Acura,ZDX (with GM Ultium),2017,Flow batteries,105.5,302,Level 1 Charging,9.0,135971.68,Candy Apple Red,Israel,0.0,0.0,5.0,2050,5
169,Kia,Niro EV,2020,Sodium-ion,45.6,158,Battery Swapping,8.2,88738.08,Emerald Green,Hungary,4.0,0.0,4.0,15003,5
170,Porsche,Panamera EV,2024,Zinc-air,31.0,168,Mobile Charging,1.9,66645.6,Midnight Black,Argentina,4.0,0.0,5.0,12573,4
171,Porsche,Cayenne Electric (upcoming),2025,Lead-acid,110.1,430,NACS,6.9,88757.04,Gray,Norway,3.0,0.0,3.0,15879,3
172,Lucid Motors,Lucid Gravity,2023,Lead-acid,104.9,309,Vehicle-to-Load (V2L),5.3,130787.02,Champagne,Netherlands,,,4.0,1071,4
173,Volvo,EX30,2017,Magnesium-ion,79.5,480,Vehicle-to-Load (V2L),6.8,43585.32,Orange,Portugal,2.0,0.0,5.0,14462,5
174,Rivian,R1S,2016,Lithium-titanate,127.9,484,Ultra-Fast Charging (350 kW+),3.9,149917.52,Candy Apple Red,Spain,0.0,0.0,3.0,6877,5
